ID,LogFC
AAGAB,0.390273218
ACRBP,-4.516617378
ADCK1,-2.057185759
ADGB,-3.931654877
ADTRP,-3.147383568
AEBP1,1.151085554
AFTPH,-0.570198418
AGBL5,0.160514967
AGFG2,0.475848949
AKNA,-0.147383568
ALPK1,-1.951832759
ANGEL1,0.421982077
ANKRD44,-0.095955329
ANXA13,-5.516617378
AOC1,-4.294224957
AP5M1,-0.090352623
APMAP,0.99908246
AREL1,-0.901907534
ARRDC2,0.295024902
ARRDC3,0.083295464
ASTE1,-1.797799131
ATE1,1.511288619
ATRN,0.456840835
ATRNL1,1.965854482
AVL9,-0.170842541
AVPI1,-0.650368767
BBX,1.591907079
BCAS1,3.762219225
BCAS4,-1.079212066
BCL7A,-0.901907534
BCL7C,0.686322681
BEX4,1.809812109
BOD1L1,-0.084771591
BRD9,-0.761729876
BRINP1,1.06081145
BSPRY,-1.853652365
BZW1,1.333048349
C10orf88,-2.609726782
C10orf95,-2.457723689
C12orf4,-1.256089828
C12orf57,2.046896703
C14orf93,-1.346692377
C17orf75,-0.901907534
C19orf25,0.282124414
C19orf44,-1.692188943
C1orf109,-1.658636383
C1orf112,-3.516617378
C1orf198,1.9166203
C1orf21,-0.307164012
C1orf54,-0.387334361
C20orf85,-4.931654877
C22orf31,-4.64214826
C2CD5,0.808313205
C2orf42,-0.539337454
C3orf14,-0.300679979
C3orf18,-0.779651784
C3orf52,-5.516617378
C5orf15,-0.797799131
C5orf22,-2.170842541
C6orf118,-2.147383568
CAAP1,-2.892126513
CACTIN,-0.779651784
CAMSAP2,1.271285181
CAPG,-0.079212066
CAPN15,-0.218936829
CAPRIN2,-0.101579879
CASS4,-3.014117037
CBLN1,-3.401140161
CBX7,1.577900221
CCDC113,-0.825455473
CCDC124,1.470172765
CCDC134,-1.692188943
CCDC170,-3.014117037
CCDC18,-3.709262456
CCDC181,-1.972296862
CCDC28A,-0.457723689
CCDC34,-2.147383568
CCDC61,-0.834793338
CCDC70,-6.101579879
CCDC77,-1.744027874
CCDC80,-1.387334361
CCDC85A,-0.675315124
CCDC86,-1.294224957
CCDC9,-0.346692377
CCDC91,1.412147717
CCDC92,1.17686958
CCM2L,-2.486870035
CCNI,3.471593906
CCSER2,1.494609877
CDADC1,-2.268689865
CDIP1,1.718599084
CDR2L,0.08824468
CDV3,1.206759151
CEP170B,1.132039798
CEP85L,-0.294224957
CHADL,0.643253959
CHI3L2,-1.709262456
CHRAC1,-0.892126513
CINP,-0.993055422
CLCC1,-0.387334361
CLDND1,3.880700726
CLIP2,2.016063223
CLPTM1,2.347568767
CLPTM1L,-0.539337454
CLUL1,-1.593785238
CMTM1,-1.675315124
CNFN,-4.516617378
CNNM1,-1.079212066
CNPPD1,0.513129965
CNRIP1,1.095636814
CNTLN,-1.931654877
CNTNAP3,-1.761729876
COBL,1.797777044
COBLL1,-1.024764282
COCH,-1.231215159
COMMD2,-1.593785238
CPED1,-1.578017923
CPQ,0.762606266
CPVL,-0.941708542
CPXM1,-5.101579879
CPXM2,-1.779651784
CPZ,-5.779651784
CRISPLD1,-1.578017923
CROCC,-1.415079352
CRTAC1,-0.609726782
CRYBB3,-3.457723689
CRYBG3,-0.700700442
CRYGD,-5.516617378
CRYZ,-0.53172427
CSMD2,-1.81617766
CST7,-3.64214826
CTBS,-3.64214826
DAP,0.206759151
DBNDD1,1.563756038
DCAF11,0.068345123
DCAF17,-1.194689283
DCBLD2,-1.401140161
DEPDC1,-6.101579879
DGCR2,1.275630652
DKKL1,-7.101579879
DLX4,-8.101579879
DMRT3,-4.194689283
DNPEP,-0.717875586
DNPH1,0.341363617
DPF1,-0.570198418
DPP8,0.669909591
DRG2,-1.024764282
DTWD1,-0.617764101
DYRK4,-2.609726782
EBNA1BP2,-0.225062932
ECD,-0.068156877
ECM2,-1.281400916
EDRF1,-1.429154537
EFR3B,1.514968965
EHBP1,0.743910172
ELF4,-1.472223259
ELMOD1,0.679779835
EMC9,-2.64214826
ENKD1,-1.578017923
ENPP5,-0.436243962
EPDR1,1.361944495
EQTN,-3.709262456
ERGIC2,0.31204805
ERICH1,-1.486870035
ERMP1,-1.546991027
ESF1,-0.675315124
ETV2,-5.779651784
ETV3,-0.717875586
EVA1A,-6.516617378
EXD2,-0.268689865
FAHD2A,-0.159065373
FAM107B,1.922174475
FAM118A,0.202200869
FAM120A,1.617808942
FAM124B,-3.457723689
FAM135A,-0.307164012
FAM136A,-1.101579879
FAM172A,-0.118586304
FAM184A,-0.206762115
FAM184B,-2.892126513
FAM199X,0.421982077
FAM209A,-8.101579879
FAM20A,-3.709262456
FAM20B,0.017361194
FAM50A,0.229336999
FAM76A,-0.281400916
FAM76B,-2.079212066
FAM83D,-4.101579879
FAM83E,-4.294224957
FAM98A,-0.360112892
FBRSL1,0.505750435
FERMT1,-3.294224957
FETUB,-7.101579879
FHL5,-2.931654877
FLYWCH1,0.887104808
FOXRED2,0.093176976
FRMD4B,0.805310717
FRMPD1,-0.931654877
FRY,0.238270124
FRYL,1.078329211
FSCN3,-8.101579879
FTSJ3,-1.387334361
FUBP3,-0.650368767
FXYD5,-0.394220747
GDAP1L1,-0.068156877
GIMAP2,-2.346692377
GINM1,0.05323823
GLCCI1,-0.901907534
GLRX2,-2.744027874
GLT8D1,0.043078364
GLT8D2,-2.578017923
GON4L,-0.443368396
GPATCH2L,0.260363895
GPN3,-1.486870035
GPR137B,0.616096544
GRAMD1A,0.460662546
GRAMD4,0.560198219
GSDMB,-4.101579879
GSG1,-2.079212066
GZMK,-7.101579879
HAGHL,-0.472223259
HEATR5B,0.264742336
HEATR6,-2.079212066
HECA,-0.268689865
HEMK1,-1.709262456
HERPUD2,0.494609877
HHATL,1.991177262
HM13,0.366025671
HMGXB3,-0.422099779
HMGXB4,-1.373659424
HOOK2,-1.401140161
HS1BP3,-0.147383568
IFI27L2,1.014764083
ILVBL,0.19304087
IMPG1,-3.401140161
IMPG2,-4.64214826
INSL4,-3.853652365
INSL6,-2.035490688
IQCG,-0.625846448
IQCH,-2.853652365
ISM1,-3.401140161
ISM2,-6.516617378
ISOC1,-1.401140161
ISOC2,-0.057185759
ITFG2,-1.014117037
ITIH5,-0.941708542
ITM2A,1.593648413
JMJD4,-1.951832759
JPH1,-3.779651784
JPH4,2.362965872
KANK1,0.366025671
KCTD20,0.188438968
KHNYN,-0.494249565
KIAA0930,2.369078995
KIAA1191,1.641571515
KIAA1217,-0.225062932
KIAA1549L,0.00170793
KIAA2013,0.333048349
KLHDC4,-1.068156877
KNOP1,-0.593785238
KXD1,1.58667043
LANCL1,2.058291458
LDB3,-0.262376091
LENG1,-5.779651784
LEPROTL1,0.320484887
LETMD1,-0.64214826
LGALS14,-2.346692377
LGALS2,-3.243598884
LGALSL,-1.472223259
LIMCH1,2.285360367
LMBR1,-0.982638806
LRIF1,-1.415079352
LRRC31,-8.101579879
LRRC39,-2.294224957
LRRC40,-1.206762115
LRRC42,-1.415079352
LUC7L,-0.901907534
LXN,-1.675315124
LZTS1,-1.003547796
LZTS2,1.181508474
LZTS3,1.466376197
MANBAL,0.724968609
MANSC1,-1.709262456
MCUR1,-0.80695913
MDM1,-1.243598884
MEGF9,1.213569684
MEST,0.771864234
METRN,3.23548446
METTL24,-1.53172427
METTL4,-1.81617766
METTL8,-1.307164012
MFSD1,0.639887108
MFSD10,-0.147383568
MIEF1,-0.509122841
MIER2,-0.683727364
MIIP,-0.882411358
MISP,-7.101579879
MLANA,-2.853652365
MLF2,2.558416014
MOK,-1.951832759
MON2,0.083295464
MORC1,-7.101579879
MORN1,-1.872761188
MOSPD3,-0.479528059
MOXD1,-1.931654877
MPND,-0.218936829
MPP2,0.676497251
MREG,-1.333395554
MROH9,-3.931654877
MRTO4,-0.666951651
MS4A4A,-1.346692377
MS4A6A,-2.124299955
MTFR1,-2.057185759
MTFR1L,0.99908246
MTG2,-1.779651784
MTPAP,-0.194689283
MTRF1,-2.218936829
MYO15A,-3.779651784
N4BP1,-0.472223259
NAV3,0.948268671
NDC1,-2.218936829
NDRG3,1.439516737
NDRG4,3.604916139
NEK11,-1.101579879
NEK4,-0.188690542
NELFCD,-0.333395554
NFAT5,0.349631233
NISCH,2.013463771
NKAIN4,0.46827573
NKG7,-3.64214826
NKTR,0.146347635
NME8,-5.779651784
NOA1,-1.090352623
NOL10,-3.931654877
NOL4,-0.993055422
NOMO1,-4.64214826
NOMO3,-2.578017923
NOP16,-0.863175139
NOVA2,0.588418093
NPM3,-2.675315124
NPR3,-2.101579879
NPTX2,-0.570198418
NRDE2,-2.194689283
NT5C3A,-1.951832759
NT5DC3,-0.262376091
NUDCD1,-3.64214826
NUDCD3,-0.464955258
NXPE1,-3.853652365
OCEL1,-1.429154537
ODF2L,0.307811057
OGFOD1,-1.182716641
OGFOD2,-1.609726782
OGFR,0.083295464
OLFM3,-1.090352623
OLFML3,-2.218936829
OTOF,-2.64214826
OVOL3,-3.194689283
PACRG,0.295024902
PALD1,-1.079212066
PALM,2.770325359
PALMD,-1.53172427
PASK,-1.951832759
PCDHB12,-1.951832759
PCDHB14,-1.294224957
PCDHB15,-1.761729876
PCDHB2,-2.675315124
PCDHB3,-2.709262456
PCDHB4,-1.993055422
PCDHB5,-1.320220165
PCDHB6,-2.853652365
PCDHB7,-2.931654877
PCDHB8,-2.709262456
PCDHGA2,-1.593785238
PDCL3,-0.761729876
PDLIM2,0.366025671
PDRG1,-1.625846448
PDZD4,1.979237649
PGC,-5.779651784
PHEX,-3.457723689
PHTF1,-1.231215159
PHTF2,-1.231215159
PIH1D1,-0.084771591
PIK3IP1,0.817283359
PITRM1,0.078329211
PLXDC2,0.718599084
PMFBP1,-3.931654877
PODXL2,1.158163385
POPDC2,-5.516617378
PPP4R4,-3.194689283
PPP6R2,0.820261058
PRDM11,-1.024764282
PRG4,-8.101579879
PRICKLE3,-3.057185759
PROSER1,-1.194689283
PROX2,-1.931654877
PRR11,-1.415079352
PRRC2C,1.19304087
PRUNE2,1.68958301
PTCD2,-2.516617378
PTK7,-1.64214826
PYROXD1,-1.797799131
PYROXD2,-1.516617378
QPCTL,-1.91175532
QSER1,-0.609726782
R3HCC1,0.337211974
R3HDML,-4.931654877
RAB40AL,-3.057185759
RABL2B,0.740770465
RARRES1,-2.853652365
RASL10A,0.037971474
RASL11A,-3.194689283
RBFA,-1.779651784
RCAN3,-1.779651784
RCOR3,0.560198219
RECQL,-1.546991027
RERGL,-3.294224957
RFX2,-0.58588004
RFX3,0.942814241
RFX4,0.991177262
RHBDD2,2.762606266
RHBDD3,-1.546991027
RHBDF1,-1.692188943
RHBDL1,-0.962028526
RIMBP2,-0.601733992
RIMS3,2.224849608
RMDN2,-1.779651784
RNH1,0.774937068
RPAP1,-1.124299955
RPF1,-1.090352623
RPUSD1,-0.717875586
RRP12,-0.464955258
RRP15,-2.609726782
RSPH4A,-2.81617766
RSPH6A,-6.516617378
RUNDC3A,2.121215024
S100PBP,-0.509122841
SASH1,2.140403271
SAYSD1,-2.194689283
SBNO2,-0.993055422
SCPEP1,-1.761729876
SEC14L3,-4.194689283
SEC14L5,0.19304087
SENP6,1.374153552
SERTAD4,-4.779651784
SEZ6,0.731310135
SEZ6L,1.764153392
SH3PXD2A,0.793237885
SIAE,-0.182716641
SIDT1,-1.562421068
SLC7A6OS,-1.046297443
SLITRK3,-0.91175532
SMIM8,-1.609726782
SNPH,1.614382112
SPA17,-2.892126513
SPAG4,-3.457723689
SPAG7,0.464474159
SPATA20,-0.079212066
SPATS2,-0.313677319
SPEF1,-2.546991027
SPINT3,-7.101579879
SPOCK2,3.500655023
SRBD1,-2.346692377
SRPX,-1.035490688
SRRD,-1.387334361
SSPN,0.382235899
ST7L,-1.609726782
STAU2,1.58667043
STOML1,0.273459553
STON1-GTF2A1L,-4.779651784
STPG1,-1.387334361
SUCO,-0.625846448
SUPT20H,-1.360112892
SUSD1,-1.307164012
SUSD2,-1.472223259
SWT1,-1.294224957
SYNDIG1,0.127238812
SYNGR2,0.771864234
SYNGR4,-8.101579879
SYPL1,0.229336999
TANGO6,-1.472223259
TARBP1,-0.752851724
TASP1,-1.268689865
TBC1D12,-0.084771591
TBC1D19,-0.675315124
TBC1D22A,-0.633974329
TBC1D22B,-1.457723689
TBC1D30,-1.231215159
TBCCD1,-1.360112892
TCEANC2,-1.53172427
TEKT2,-3.779651784
TEX14,-5.101579879
TFCP2L1,-3.457723689
THADA,-1.346692377
THAP3,-0.692188943
THEG,-8.101579879
TLDC2,-3.194689283
TM7SF3,1.127238812
TM9SF1,-1.726540447
TM9SF3,0.750169163
TM9SF4,0.370095336
TMC5,-4.194689283
TMCC3,0.08824468
TMCO6,-3.101579879
TMED8,0.017361194
TMEM104,-1.281400916
TMEM109,0.141594105
TMEM131,0.083295464
TMEM147,0.843863958
TMEM14A,0.127238812
TMEM156,-2.892126513
TMEM161A,-1.457723689
TMEM176A,0.012162287
TMEM176B,0.251566947
TMEM205,1.477736059
TMEM230,1.668257965
TMEM245,0.535044742
TMEM248,0.961815203
TMEM260,-1.546991027
TMEM38A,-0.333395554
TMEM40,-3.578017923
TMEM54,0.324684876
TMEM59,2.425897127
TMEM59L,3.015413799
TMEM98,0.820261058
TNMD,-6.516617378
TOX2,-0.921670789
TP53TG5,-2.709262456
TPD52L2,0.708991756
TPSD1,-5.294224957
TRAF3IP3,-3.014117037
TRAPPC13,-1.64214826
TRHDE,-2.779651784
TRIB2,-0.019430837
TRMT1L,-0.972296862
TRMT2A,-1.124299955
TRO,-0.237393734
TSHZ3,-2.035490688
TSPO2,-3.779651784
TTLL1,-1.194689283
TTLL12,-0.262376091
TTLL2,-8.101579879
TTLL5,-0.268689865
TULP2,-5.516617378
TXNDC15,0.626340576
TXNDC16,-1.124299955
TXNL1,0.636512381
UBFD1,0.188438968
UPK2,-8.101579879
URGCP,0.141594105
VCPKMT,-3.294224957
VPS13D,0.386260155
VPS9D1,0.286437407
VWA5A,-0.617764101
VWA8,-0.170842541
WDR83OS,1.42394093
WFDC1,-2.320220165
WSCD2,-1.218936829
WWC3,-0.366870258
XPNPEP1,-1.231215159
YBX2,-4.779651784
YBX3,-0.408092921
YIPF4,-0.225062932
YLPM1,0.915228409
YPEL3,2.609226555
YTHDC2,-0.882411358
ZBED4,-1.658636383
ZC3HC1,-1.951832759
ZCCHC17,0.817283359
ZCCHC8,-1.373659424
ZCWPW1,-2.675315124
ZFAND6,1.06081145
ZFR2,-0.91175532
ZNF280C,-2.546991027
ZNF346,-0.516617378
ZNF644,0.165206662
ZNF831,-3.194689283
ZZEF1,-0.658636383
